ID,Estado de contacto,Corredor,Microzona,Ciudad,Clase,Puntaje operativo,Empresa,Sector,Segmento comercial,Teléfonos,Calidad del teléfono,Teléfono principal (tel:),Links telefónicos,Preguntar por,Necesidad probable,Oferta PRESOL,Gancho comercial,Acción sugerida,Dato pendiente,Google Maps,Fuente,URL fuente,Evidencia,Calidad del dato,Origen del registro,Resultado,Fecha de visita,Próximo paso,Notas de campo,Servicios PRESOL a ofrecer,Rubro foco enriquecimiento,Ciudad foco solicitada,Prioridad visita sugerida,Observación servicio nuevo,Fuente unificación,Notas de unificación
ONC-004,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,A,100,Metalúrgica Cerquatti,"Cajas volcadoras, roll-off, contenedores y obradores",Industria / mantenimiento,03572 456573 / 03572 504462,OK,tel:+543572456573,tel:+543572456573 | tel:+543572504462,logística / despacho / postventa,"Traslado de maquinaria, implementos, equipos terminados y componentes de gran porte entre planta, cliente, obra o feria.",Plataforma 20 tn + malacate/hidrogrúa según maniobra + seguro de carga + trazabilidad GPS.,"Fabricante en Polo Industrial Oncativo; produce cajas volcadoras, contenedores, volquetes y obradores.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Metal%C3%BArgica+Cerquatti+Oncativo+C%C3%B3rdoba+Argentina,Web propia Cerquatti,https://www.cerquatti.com/nosotros.html,"Fabricante en Polo Industrial Oncativo; produce cajas volcadoras, contenedores, volquetes y obradores.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,,GPT adjunto,
ONC-005,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,A,100,Scorza,Equipos de higiene urbana y equipos especiales,Industria / mantenimiento,03572 466092 / 03572 665388,OK,tel:+543572466092,tel:+543572466092 | tel:+543572665388,logística / despacho / postventa,"Traslado de maquinaria, implementos, equipos terminados y componentes de gran porte entre planta, cliente, obra o feria.",Plataforma 20 tn + malacate/hidrogrúa según maniobra + seguro de carga + trazabilidad GPS.,Planta de producción de equipos de higiene urbana y especiales sobre RN9; fabricación y despacho nacional.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Scorza+Oncativo+C%C3%B3rdoba+Argentina,Web propia Scorza,https://scorza.com.ar/contacto/,Planta de producción de equipos de higiene urbana y especiales sobre RN9; fabricación y despacho nacional.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,,GPT adjunto,
ONC-006,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,A,85,Agropartes S.A.,Repuestos y agropartes para maquinaria agrícola,Industria / mantenimiento,03572 456204 / 03572 466314,VER,tel:+543572456204,tel:+543572456204 | tel:+543572466314,logística / despacho / postventa,"Traslado de maquinaria, implementos, equipos terminados y componentes de gran porte entre planta, cliente, obra o feria.",Plataforma 20 tn + malacate/hidrogrúa según maniobra + seguro de carga + trazabilidad GPS.,"Directorio local lista fábrica de repuestos/agropartes en Berutti, Oncativo.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Agropartes+S.A.+Oncativo+C%C3%B3rdoba+Argentina,TeleXplorer directorio local,https://www.telexplorer.com.ar/Maquinaria-agricola-repuestos-y-accesorios-EN-Oncativo,"Directorio local lista fábrica de repuestos/agropartes en Berutti, Oncativo.",Media,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Muy alta,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto,
ONC-007,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,A,85,Fertimaq,Maquinaria y tecnología agrícola,Industria / mantenimiento,03572 458660,OK,tel:+543572458660,tel:+543572458660,logística / entregas / postventa,"Traslado de maquinaria agrícola o vial entre sucursal, cliente, taller, campo y eventos.","Traslado de maquinaria en plataforma 20 tn, coordinación de retiro/entrega y apoyo de hidrogrúa si corresponde.",Proveedor de maquinaria e implementos agrícolas en RN9 km 631; servicio técnico y repuestos.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Fertimaq+Oncativo+C%C3%B3rdoba+Argentina,Web propia Fertimaq,https://www.fertimaq.com.ar/,Proveedor de maquinaria e implementos agrícolas en RN9 km 631; servicio técnico y repuestos.,Alta,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,,GPT adjunto,
ONC-008,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,A,85,SICA S.A. - Fabricación y Venta,Fabricación industrial,Industria / mantenimiento,03572 460958,OK,tel:+543572460958,tel:+543572460958,mantenimiento / despacho,"Movimientos especiales de mantenimiento, repuestos pesados, equipos y mudanzas internas o entre plantas.","Traslados especiales de equipos y repuestos con plataforma 20 tn, seguro/GPS y apoyo de hidrogrúa.",Fábrica sobre RN9 en Oncativo; validar línea de productos y despachos.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=SICA+S.A.+-+Fabricaci%C3%B3n+y+Venta+Oncativo+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Sica+SA+Fabricacion+y+Venta+Oncativo+C%C3%B3rdoba+Argentina,Fábrica sobre RN9 en Oncativo; validar línea de productos y despachos.,Alta,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,,GPT adjunto,ID fuente: ONC-009
ONC-009,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,A,85,San Isidro Maquinarias,Maquinaria agrícola,Industria / mantenimiento,03572 561450,OK,tel:+543572561450,tel:+543572561450,logística / entregas / postventa,"Traslado de maquinaria agrícola o vial entre sucursal, cliente, taller, campo y eventos.","Traslado de maquinaria en plataforma 20 tn, coordinación de retiro/entrega y apoyo de hidrogrúa si corresponde.",Comercialización de maquinaria en acceso a autopista; potencial traslado de unidades a clientes.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=San+Isidro+Maquinarias+Oncativo+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=San+Isidro+Maquinarias+Oncativo+C%C3%B3rdoba+Argentina,Comercialización de maquinaria en acceso a autopista; potencial traslado de unidades a clientes.,Alta,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Muy alta,,GPT adjunto,ID fuente: ONC-008
ONC-010,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,A,85,Vial Truck S.A.,Equipos viales / camiones,Industria / mantenimiento,03572 455688,OK,tel:+543572455688,tel:+543572455688,logística / despacho / postventa,"Traslado de maquinaria, implementos, equipos terminados y componentes de gran porte entre planta, cliente, obra o feria.",Plataforma 20 tn + malacate/hidrogrúa según maniobra + seguro de carga + trazabilidad GPS.,Empresa local vinculada a equipos viales/camiones; teléfono público.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Vial+Truck+S.A.+Oncativo+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Vial+Truck+SA+Oncativo+C%C3%B3rdoba+Argentina,Empresa local vinculada a equipos viales/camiones; teléfono público.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,,GPT adjunto,
ONC-011,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,B,77,Metalúrgica Rosas,Fabricación metalúrgica,Metalmecánica / despacho,+54 9 3572 549003 / 03572 15617489,OK,tel:+5493572549003,tel:+5493572549003 | tel:+5493572617489,despacho / producción,"Despacho de estructuras, piezas, equipos y conjuntos metalmecánicos de gran porte hacia obras o clientes.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS + apoyo de hidrogrúa según maniobra.,Fábrica metalúrgica local con teléfono público.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Metal%C3%BArgica+Rosas+Oncativo+C%C3%B3rdoba+Argentina,Google Maps / ficha pública | Facebook público / resultado de búsqueda,https://www.google.com/maps/search/?api=1&query=Metal%C3%BArgica+Rosas+Oncativo+C%C3%B3rdoba+Argentina | https://www.facebook.com/metalurgicarosasoncativook?locale=es_LA,Fábrica metalúrgica local con teléfono público. | Resultado público: fabrica de repuestos para cosechadoras multimarca; teléfono (03572)15617489; Oncativo.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Alta,"Percha para pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: ONC-013
ONC-012,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,B,75,Bartolomé Cerutti SRL,Maquinaria agrícola,Industria / mantenimiento,03572 460754,VER,tel:+543572460754,tel:+543572460754,logística / entregas / postventa,"Traslado de maquinaria agrícola o vial entre sucursal, cliente, taller, campo y eventos.","Traslado de maquinaria en plataforma 20 tn, coordinación de retiro/entrega y apoyo de hidrogrúa si corresponde.",Directorio local lista empresa de maquinaria agrícola en San Martín 1510.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Bartolom%C3%A9+Cerutti+SRL+Oncativo+C%C3%B3rdoba+Argentina,TeleXplorer directorio local,https://www.telexplorer.com.ar/Maquinaria-agricola-repuestos-y-accesorios-EN-Oncativo,Directorio local lista empresa de maquinaria agrícola en San Martín 1510.,Media,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Alta,,GPT adjunto,ID fuente: ONC-011
ONC-013,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,B,75,E Postacchini S.A.S.,Servicio / maquinaria agrícola,Industria / mantenimiento,A relevar,A relevar,,,logística / entregas / postventa,"Traslado de maquinaria agrícola o vial entre sucursal, cliente, taller, campo y eventos.","Traslado de maquinaria en plataforma 20 tn, coordinación de retiro/entrega y apoyo de hidrogrúa si corresponde.","Listado sectorial ubica E Postacchini en Autopista Córdoba-Rosario km 628,3, Oncativo; correos comerciales publicados.",Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=E+Postacchini+S.A.S.+Oncativo+C%C3%B3rdoba+Argentina,Red de servicios Piersanti,https://piersanti.com.ar/en/en_services/,"Listado sectorial ubica E Postacchini en Autopista Córdoba-Rosario km 628,3, Oncativo; correos comerciales publicados.",Media,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Media,,GPT adjunto,ID fuente: ONC-012
ONC-014,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,B,75,Serra Obras y Redes,Obras y redes / construcción,Obra / constructora,03572 436146,OK,tel:+543572436146,tel:+543572436146,jefe de obra / operaciones,"Traslado de maquinaria, módulos de obrador, estructuras y equipos entre depósitos y frentes de obra.",Transporte especial de equipos/obrador + plataforma 20 tn + apoyo de hidrogrúa según maniobra + seguro/GPS.,"Empresa constructora local; potencial movimiento de equipos, cañerías, obradores y materiales.",Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Serra+Obras+y+Redes+Oncativo+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Serra+Obras+y+Redes+Oncativo+C%C3%B3rdoba+Argentina,"Empresa constructora local; potencial movimiento de equipos, cañerías, obradores y materiales.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | barquilla de hidrogrúa para mantenimiento en altura | hidrogrúa para postes/equipos,áridos/construcción/premoldeados | mantenimiento en altura/redes,Sí,Alta,"Barquilla: validar seguridad, seguro, permiso de trabajo y alcance de maniobra antes de cotizar.",GPT adjunto,
ONC-015,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,B,75,Tantucci Construcciones,Construcción,Obra / constructora,03572 402571,OK,tel:+543572402571,tel:+543572402571,jefe de obra / operaciones,"Traslado de maquinaria, módulos de obrador, estructuras y equipos entre depósitos y frentes de obra.",Transporte especial de equipos/obrador + plataforma 20 tn + apoyo de hidrogrúa según maniobra + seguro/GPS.,Constructora local con teléfono público.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Tantucci+Construcciones+Oncativo+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Tantucci+Construcciones+Oncativo+C%C3%B3rdoba+Argentina,Constructora local con teléfono público.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Alta,,GPT adjunto,
ONC-016,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,B,60,Agro Repuestos Oncativo,Repuestos y accesorios de maquinaria agrícola,Industria / mantenimiento,03572 466328,VER,tel:+543572466328,tel:+543572466328,logística / entregas / postventa,"Traslado de maquinaria agrícola o vial entre sucursal, cliente, taller, campo y eventos.","Traslado de maquinaria en plataforma 20 tn, coordinación de retiro/entrega y apoyo de hidrogrúa si corresponde.",Directorio local lista repuestos agrícolas en 25 de Mayo 973.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Agro+Repuestos+Oncativo+Oncativo+C%C3%B3rdoba+Argentina,TeleXplorer directorio local,https://www.telexplorer.com.ar/Maquinaria-agricola-repuestos-y-accesorios-EN-Oncativo,Directorio local lista repuestos agrícolas en 25 de Mayo 973.,Media,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Alta,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto,
ONC-017,Pendiente,Oncativo / RN9,Oncativo / RN9 - polo industrial,Oncativo,C,40,Murature Oncativo S.A.,Fertilizantes / agroinsumos,Agro / acopio / planta,A relevar,A relevar,,,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos e implementos con plataforma e hidrogrúa según necesidad.",Proveedor de fertilizantes en Oncativo; fit secundario para equipos de planta y movimientos especiales.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Murature+Oncativo+S.A.+Oncativo+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Murature+Oncativo+SA+Oncativo+C%C3%B3rdoba+Argentina,Proveedor de fertilizantes en Oncativo; fit secundario para equipos de planta y movimientos especiales.,Media,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,planta agroindustrial,Sí,Baja / visitar solo por cercanía,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto,
ONC-018,Pendiente,Oncativo / RN9-RP10,Oncativo / RN9 km 627,Oncativo,A,99,Cooperativa Agrícola Ganadera y de Consumo de Oncativo Ltda.,Cooperativa agrícola ganadera / acopio / consumo,Agro / acopio / cooperativa,03572 456777 / 03572 15583757,OK,tel:+543572456777,tel:+543572456777 | tel:+5493572583757,acopio / insumos / mantenimiento,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.","Cooperativa agroganadera sobre RN9; oportunidad en acopio, insumos, pallets y mantenimiento de planta.","Pedir por acopio/insumos y ofrecer percha pallets, hidrogrúa y barquilla para mantenimiento en altura.",Validar responsables de acopio e insumos y picos de campaña.,https://www.google.com/maps/search/?api=1&query=Cooperativa+Agr%C3%ADcola+Ganadera+y+de+Consumo+de+Oncativo+Ltda.+Oncativo+C%C3%B3rdoba+Argentina,ESSApp,https://www.essapp.coop/cooperativa-agricola-ganadera-y-de-consumo-de-oncativo-ltda/sede-cooperativa-agricola-ganadera-y-de,"Ficha ESSApp: RN9 Km 627, Oncativo; 03572-456777 / 03572 15583757.",Alta,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio,Sí,Muy alta,"Si se ofrece barquilla, validar condiciones de seguridad, seguro y habilitación de maniobra.",Hermes único,Alta única desde base Hermes; no estaba en el Excel GPT adjunto. | ID fuente: PRESOL-130
ONC-019,Pendiente,Oncativo / RN9-RP10,Oncativo,Oncativo,B,85,El Triunfo Oncativo,Acopio / granos / fitosanitarios / fertilizantes / semillas,Agro / acopio / cooperativa,03572 466288 / +54 9 3572 408824,OK,tel:+543572466288,tel:+543572466288 | tel:+5493572408824,acopio / logística / insumos,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.","Acopio con insumos/fertilizantes/semillas; oportunidad para pallets, bolsones, repuestos y equipos.",Llamar a acopio/logística y preguntar por terceros para movimientos de insumos y equipos.,Validar nombre de responsable operativo.,https://www.google.com/maps/search/?api=1&query=El+Triunfo+Oncativo+Oncativo+C%C3%B3rdoba+Argentina,Web propia El Triunfo,https://www.eltriunfo.com.ar/acopio,"Sitio informa acopio, venta de fitosanitarios/fertilizantes/semillas y teléfono 03572-466288; equipo cereales publica celulares.",Alta,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio | planta agroindustrial,Sí,Alta,"Si se ofrece barquilla, validar condiciones de seguridad, seguro y habilitación de maniobra. Percha para pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",Hermes único,Alta única desde base Hermes; no estaba en el Excel GPT adjunto. | ID fuente: PRESOL-131
ONC-020,Pendiente,Oncativo / RN9-RP10,Oncativo / piletas,Oncativo,B,81,IPC Oncativo / Piscinas IPC,Piletas de fibra / piscinas PRFV,Piletas / PRFV / plástico reforzado,3572 53-2233,VER,tel:+543572532233,tel:+543572532233,ventas / logística,"Retiro, traslado y descarga de piletas/fibra o piezas voluminosas livianas, con cuidado de maniobra.",Plataforma + hidrogrúa para trasladar y descargar piletas/piezas PRFV; coordinar maniobra sin golpes.,Sucursal/venta de piletas de fibra; posibilidad de traslado y descarga de cascos en temporada.,Verificar teléfono y consultar si tercerizan entregas de piletas a clientes finales.,"Confirmar si es fabricante, sucursal o punto de venta.",https://www.google.com/maps/search/?api=1&query=IPC+Oncativo+%2F+Piscinas+IPC+Oncativo+C%C3%B3rdoba+Argentina,Facebook público / resultado de búsqueda,https://www.facebook.com/siempre.util/posts/lleg%C3%B3-el-momento-de-tener-la-pileta-que-siempre-so%C3%B1aste-%EF%B8%8Fen-ipc-oncativo-te-lo-h/1716180416596562,"Resultado público: IPC Oncativo, piletas de fibra; teléfono 3572 53-2233.",Media,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,plataforma para piletas/fibra | hidrogrúa para descarga/posicionamiento,piletas/plástico/PRFV,Sí,Alta,,Hermes único,Alta única desde base Hermes; no estaba en el Excel GPT adjunto. | ID fuente: PRESOL-133
ONC-021,Pendiente,Oncativo / RN9-RP10,Oncativo,Oncativo,B,81,Premoldeados Oncativo,Premoldeados de hormigón / construcción,Hormigón / áridos / premoldeados,03572 466096,VER,tel:+543572466096,tel:+543572466096,planta / despacho,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.","Premoldeados de hormigón; encaje directo con plataforma, hidrogrúa, pallets y materiales de obra.",Verificar teléfono y preguntar por despachos de placas/piezas y necesidad de descarga en obra.,Confirmar vigencia y domicilio Juan B. Justo 101.,https://www.google.com/maps/search/?api=1&query=Premoldeados+Oncativo+Oncativo+C%C3%B3rdoba+Argentina,Portal Industrial / resultado de búsqueda,https://www.portal-industrial.com.ar/rubro/premoldeados-de-hormigon/P-061550/12,"Resultado público: PREMOLDEADOS ONCATIVO, Juan B. Justo 101, Oncativo; tel. (03572) 46-6096.",Media,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Alta,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar.",Hermes único,Alta única desde base Hermes; no estaba en el Excel GPT adjunto. | ID fuente: PRESOL-132
ONC-022,Pendiente,Oncativo / RN9-RP10,Oncativo / servicios públicos,Oncativo,C,65,CESOPOL Oncativo,Cooperativa eléctrica / servicios públicos / redes / agua,Agro / acopio / cooperativa,03572 455000 / +54 9 3572 593391,OK,tel:+543572455000,tel:+543572455000 | tel:+5493572593391,mantenimiento / redes / compras,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.","Servicios públicos/redes: buen caso para barquilla de hidrogrúa, postes, bombas y mantenimiento.",Pedir por mantenimiento/redes y ofrecer barquilla/hidrogrúa según necesidad puntual.,Validar contratación de terceros y requisitos de seguridad/seguro.,https://www.google.com/maps/search/?api=1&query=CESOPOL+Oncativo+Oncativo+C%C3%B3rdoba+Argentina,Web propia CESOPOL,https://www.oncativo.net.ar,"Sitio propio: Berutti 152, Oncativo; atención 03572-455000; servicios electricidad, agua, internet, parque solar.",Alta,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura | barquilla de hidrogrúa para mantenimiento en altura | hidrogrúa para postes/equipos,cooperativa/acopio,Sí,Media,"Si se ofrece barquilla, validar condiciones de seguridad, seguro y habilitación de maniobra.",Hermes único,Alta única desde base Hermes; no estaba en el Excel GPT adjunto. | ID fuente: PRESOL-134
AGI-001,Pendiente,Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,A,100,Cotagro — Alcira Gigena,Cooperativa agroindustrial / maní / acopio,Agro / acopio / planta,358 4393127 / 358 4125695 / 0358 4933333,OK,tel:+543584393127,tel:+543584393127 | tel:+543584125695 | tel:+543584933333,operaciones / entregas,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Cotagro concentra 4 puntos del corredor; pedir compras/logística.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.755782,-64.339199",Facebook Cotagro / cotagroweb.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio,,Muy alta,"Barquilla: validar seguridad, seguro, permiso de trabajo y alcance de maniobra antes de cotizar. Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: ALG-001
AGI-002,Pendiente,Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,B,75,Cooperativa Alba de Gigena,Cooperativa agropecuaria,Agro / acopio / planta,0358 4960151,OK,tel:+543584960151,tel:+543584960151,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visita de diagnóstico; posible derivación a productores.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.757500,-64.335000",DNB / fuentes públicas,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio,,Alta,"Barquilla: validar seguridad, seguro, permiso de trabajo y alcance de maniobra antes de cotizar. Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: ALG-002
